Project Name,AI Description,AI Category,ML Model Used,ML Model Description,Primary Function,Failure Cause / Challenge,ROI / Financial Impact,Location,Year of Beginning,Year Launched,Year of Failure / Success,Outcome,HIL (Human-in-the-Loop),AF (Algorithm Function),DT (Data Type),DF (Data Format),DQ (Data Quality),INF (Infrastructure),NAICS Code,NAICS Description,Scope,Compliance Level,Daily Data Volume (GB),,,,,,,,
Apple Face ID,AI facial recognition for phone unlock,AI Security & Surveillance,DNN for Face Recognition,"This system uses Deep Neural Networks (DNN) to identify and recognize faces from image data. The model learns distinctive facial features and compares them against a database of known faces. This technology is applied in security systems, phone unlock features, and surveillance systems to automate facial identification with high accuracy.",Security AI,Facial issues with twins/masks,Widely adopted,USA,2015,2017,2017,Successful,Auto,Automation,Image,Structured,Stable,High,56,Administrative and Support and Waste Management and Remediation Services,Multi-site-National,Very-High,250,,,,,,,,
Amazon Prime Air,AI drone delivery program,AI Drone & Aerial Delivery,CV + Path-Planning ML,"This model combines Computer Vision (CV) with Reinforcement Learning (RL) for path-planning in robotics or autonomous vehicles. CV processes visual data to identify the environment, while RL is used to optimize navigation by learning the best path to avoid obstacles, improving both efficiency and safety in dynamic environments.",Logistics AI,Slow and partial rollout,Limited drone ops,USA,2013,2013,2013,Successful,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Transportation and Warehousing,Proof of Concept,Low,350,,,,,,,,
Lowe's Virtual Assistant,AI-powered in-store navigation assistant,AI Mapping & Navigation,FAQ NLP Engine,"This model utilizes Natural Language Processing (NLP) to understand and process user queries against a pre-existing FAQ database. It matches questions with the most relevant answers by analyzing the meaning of the text input, enabling automation in customer service platforms, where common questions can be answered without human intervention.",Retail AI,Poor Q&A and navigation,Retired after pilot,USA,2014,2016,2018,Failed,Auto,Assistive,Text,Unstructured,Unstable,Low,44,Retail Trade,Enterprise,Moderate,0.1,,,,,,,,
Bank of America 'Erica',AI virtual banking assistant,AI Assistants,NLP + Predictive Analytics,"This system integrates NLP to extract and analyze unstructured text data, combined with predictive analytics to forecast future trends or behaviors. The model processes textual data from multiple sources and uses statistical methods to predict future outcomes, applied in fields like finance, healthcare, and marketing to make informed predictions based on past data.",Finance AI,Minor issues early on,10M+ users gained,USA,2016,2018,2018,Successful,Auto,Assistive,Text+Numeric,Semi-Structured,Stable,Medium,52,Finance and Insurance,Enterprise,High,1.2,,,,,,,,
Samsung Bixby,AI voice assistant by Samsung,AI Voice Assistants & Speech AI,ASR + Deep Learning NLU,"This system uses Automatic Speech Recognition (ASR) for transcribing speech and Deep Learning-based Natural Language Understanding (NLU) to interpret the context of the transcriptions. The combination allows the system to understand and respond to spoken commands more effectively, used in virtual assistants for more accurate and meaningful interactions with users.",Consumer AI,Poor user interest,"Low usage, kept going",South Korea,2016,2017,2017,Successful,Auto,Assistive,Audio,Unstructured,Semi-Stable,Medium,44,Retail Trade,Department,Low,20,,,,,,,,
Spotify Recommender Engine,AI music recommendation system,AI Recommendation & Personalization,Deep Audio Embedding + CF,"This model uses deep learning techniques to create audio embeddings, capturing unique audio features, combined with Collaborative Filtering (CF) for personalized recommendations. By learning from user preferences and past listening history, the system suggests relevant music, podcasts, or audio content, widely used in music streaming and podcast services.",Media AI,Minor bubble concern,Massive engagement growth,Sweden,2012,2015,2015,Successful,Auto,Assistive,Audio+Numeric,Structured,Stable,High,51,Information,Enterprise,Moderate,52.5,,,,,,,,
IBM Watson Assistant,AI customer chatbot platform,AI Chatbots & Conversational AI,Intent Classifier + Entity Extractor,"This model applies Intent Classification to identify user intentions and Named Entity Recognition (NER) to extract key information such as dates, places, and actions from user queries. Combined, they provide a powerful system for understanding complex user inputs, common in virtual assistants and customer service chatbots.",Enterprise AI,Limited market uptake outside IBM clients,Modest enterprise success,USA,2016,2018,2018,Successful,Auto,Assistive,Text,Unstructured,Stable,Medium,54,"Professional, Scientific, and Technical Services",Enterprise,Moderate,0.2,,,,,,,,
Adobe Sensei Auto-Tagging,AI image tagging in Adobe apps,AI Data Annotation & Labeling,CNN Object Recognition,"This system uses Convolutional Neural Networks (CNN) to detect and classify objects within images. By processing visual data and identifying key features, CNNs excel in identifying objects in various scenarios, such as in security systems, autonomous vehicles, or product categorization in e-commerce platforms.",Image Recognition AI,Inaccurate tags sometimes,Generally improved speed,USA,2016,2017,2017,Successful,Auto,Descriptive,Image,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",Department,Low,100,,,,,,,,
Amazon Echo Look,AI assistant for outfit suggestions,AI Assistants,CV for Outfit Analysis,"This system uses Computer Vision (CV) to analyze and interpret fashion-related images, identifying clothing items and providing outfit recommendations based on visual data. It assists users in selecting clothing by analyzing features such as color, style, and fit, commonly applied in fashion e-commerce platforms and virtual wardrobe assistants.",Consumer AI,Privacy and low interest,Discontinued quietly,USA,2016,2017,2020,Failed,Auto,Assistive,Image,Unstructured,Unstable,Medium,44,Retail Trade,Department,Low,100,,,,,,,,
Twitter Content Mod. AI,AI moderation for online content,AI Security & Surveillance,Toxic Content Classifier,"This system employs Natural Language Processing (NLP) and machine learning to classify and filter harmful or toxic content from user-generated input. The model analyzes text for harmful speech, hate speech, and other inappropriate content, making it essential for moderating online discussions, social media platforms, and review sites.",Content Moderation AI,Missed hate speech,Ad revenue dropped,USA,2016,2016,2023,Failed,Indirect,Assistive,Text,Unstructured,Unstable,Medium,51,Information,Proof of Concept,Moderate,0.2,,,,,,,,
General Electric (GE),AI for predictive maintenance through its Predix platform,AI Predictive Maintenance & Industrial Analytics,Predictive Maintenance Model,"This AI system uses machine learning to predict the maintenance needs of industrial machinery. By analyzing sensor data and historical failure patterns, the model forecasts when equipment is likely to fail, enabling proactive maintenance and reducing downtime in critical infrastructure and manufacturing processes.",HR AI,Initial integration issues with legacy systems and resistance from maintenance staff.,40% reduction in unexpected downtimes; 20% decrease in maintenance costs; 10% increase in production efficiency.,USA,2015,2016,2016,Successful,Indirect,Predictive,Numeric,Structured,Stable,Medium,33,All Other Miscellaneous General Purpose Machinery Manufacturing,Department,High,1,,,,,,,,
BMW Manufacturing AI,AI powered image recognition using Convolutional Neural Networks (CNNs) for defect detection in car parts,AI Security & Surveillance,CV Defect Detection,"This model uses Computer Vision (CV) to detect defects in products or components during manufacturing. By analyzing images or videos of items, the system identifies imperfections and alerts operators in real-time. This system helps improve quality control processes, particularly in high-precision manufacturing environments like automotive and electronics industries.",Automotive AI,Challenge in training AI to identify subtle manufacturing defects with high accuracy.,"40% reduction in manufacturing defects, enhancing product reliability.",Germany,2018,2019,2019,Successful,Indirect,Automation,Image,Unstructured,Semi-Stable,Medium,33,Automobile Manufacturing,Department,Low,100,,,,,,,,
Siemens Supply Chain AI,AI for demand forecasting,AI Supply Chain & Demand Forecasting,Time-Series Forecasting,"This system applies machine learning to analyze time-series data and predict future trends based on historical patterns. Time-series forecasting is widely used in areas such as finance for stock market predictions, energy consumption forecasting, and demand prediction in retail or supply chain management.",Logistics AI,Difficulty aligning AI forecasts with volatile market conditions and logistics delays.,25% reduction in supply chain costs; improved inventory management.,Germany,2017,2018,2018,Successful,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,33,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",Department,Moderate,1,,,,,,,,
Airbus AI Design,AI for generative design,AI Generative AI,Generative Design Algorithms,"This AI model applies generative design techniques, allowing computers to create optimized structures or solutions based on specified parameters. The model uses evolutionary algorithms to explore multiple design possibilities and generate the most efficient designs for engineering, architecture, and manufacturing applications.",Aerospace AI,Initial challenge in ensuring AI-generated designs complied with all safety standards.,Accelerated product development cycles by 35%; enhanced design innovation.,France,2015,2016,2016,Successful,Indirect,Assistive,Numeric,Structured,Stable,High,33,Aircraft Manufacturing,Department,Moderate,1,,,,,,,,
Caterpillar,"AI for predictive analytics to forecast demand for spare parts, ensuring accurate stock levels.",AI General AI Application,Spare Parts Forecasting ML,"This system uses machine learning models to predict the demand for spare parts in manufacturing or supply chain environments. By analyzing historical consumption patterns and other influencing factors, the model helps ensure that inventory levels are optimized, minimizing stockouts and reducing excess inventory.",General AI,Ensuring compatibility of AI system with decentralized operations across departments.,20% reduction in inventory costs; minimized overstock and shortages.,USA,2016,2017,2017,Successful,Indirect,Predictive,Numeric,Structured,Stable,Medium,33,Construction Machinery Manufacturing,Department,Moderate,2.5,,,,,,,,
Ford,"AI for supply chain risk management, monitoring supplier performance and logistics challenges.",AI Supply Chain & Demand Forecasting,Risk Analysis NLP + Stats,"This system integrates Natural Language Processing (NLP) with statistical models to assess and predict risks. NLP is used to extract and analyze risk-related information from unstructured textual data, while statistical methods are employed to quantify and model the potential impact of those risks in areas like finance, insurance, and project management.",Automotive AI,Difficulty in interpreting unstructured data from multiple manufacturing lines.,Improved supply chain resilience; 40% reduction in disruptions.,USA,2017,2018,2018,Successful,Indirect,Assistive,Text+Numeric,Semi-Structured,Semi-Stable,Medium,33,Automobile Manufacturing,Department,Moderate,1,,,,,,,,
Boeing,AI optimizing aircraft design,AI General AI Application,Generative Design Optimization,"This system applies machine learning techniques to optimize generative design processes. By using algorithms that simulate real-world physical properties, the system generates efficient designs and then refines them based on performance criteria. This is commonly used in manufacturing and engineering to create optimized, cost-effective products.",Aerospace AI,Scalability issues when deploying AI across various plant locations.,25% reduction in production lead times; significant decrease in manufacturing costs.,USA,2016,2017,2017,Successful,Indirect,Assistive,Numeric,Structured,Stable,High,33,Aircraft Manufacturing,Department,Moderate,1.2,,,,,,,,
EthonAI,"AI models to enhance manufacturing efficiency, reducing defects in production processes.",AI Manufacturing & Quality Control,Defect Detection + Process Optimization ML,"This model uses machine learning to detect defects and optimize manufacturing processes. By analyzing sensor data and product images, the system identifies defects early in production and adjusts the process to minimize waste, ensuring the production of high-quality goods. This is vital for industries where precision and quality are critical, such as aerospace or automotive manufacturing.",Manufacturing AI,Challenge in getting accurate training data for machine learning algorithms.,Improved operations for clients like Siemens and Lindt; reduction in defective products. ,Switzerland,2021,2021,2021,Successful,Indirect,Automation,Image+Numeric,Unstructured,Semi-Stable,Medium,54,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",Proof of Concept,Moderate,2.5,,,,,,,,
Nanotronics,"AI in automation, and computer imaging to detect and address irregularities in manufacturing processes.",AI Manufacturing & Quality Control,Computer Vision for Quality Control,"This system uses Computer Vision (CV) to monitor the quality of products during production. The model is trained to detect imperfections, ensuring that only products that meet quality standards are shipped. It is particularly useful in industries like electronics, automotive, and consumer goods, where product defects can have significant impacts on performance and safety.",General AI,Overcoming privacy and compliance concerns during data collection.,Not publicly disclosed; Partnered with companies like Solugen to implement technology in autonomous chemical plants,USA,2015,2016,2016,Partial,Indirect,Automation,Image,Unstructured,Semi-Stable,Medium,54,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",Department,Low,101,,,,,,,,
Redfin,"AI to analyze market data, automate property valuations, and offer personalized home recommendations.",AI Real Estate & Property Tech,Real Estate Recommender + Pricing ML,"This system applies machine learning to analyze real estate data and recommend properties based on user preferences, budget, and location. The model also predicts property prices by analyzing historical data, helping users make informed decisions about buying, renting, or selling properties.",RealEstate AI,Difficulty integrating AI with real-time data pipelines in legacy systems.,Enhanced efficiency in property transactions and increased customer satisfaction.,USA,2004,2006,2006,Successful,Auto,Assistive,Numeric,Structured,Stable,Medium,53,Offices of Real Estate Agents and Brokers,Enterprise,Moderate,100,,,,,,,,
Opendoor,AI to evaluate home conditions and optimize pricing strategies for buying and selling homes online.,AI General AI Application,Home Price Optimization ML,"This system uses machine learning to predict optimal pricing for homes based on various factors like location, amenities, market trends, and historical sales data. The model helps real estate professionals and home sellers set competitive prices, ensuring they maximize profit and attract buyers.",RealEstate AI,Challenge in balancing automation with safety regulations in production.,Accelerated property transactions and improved pricing accuracy.,USA,2014,2014,2014,Successful,Auto,Predictive,Numeric,Structured,Unstable,Medium,53,Offices of Real Estate Agents and Brokers,Proof of Concept,Moderate,1,,,,,,,,
Skyline AI,AI to analyze vast data sources to predict property values and identify profitable investment opportunities.,AI Real Estate & Property Tech,Investment Property Prediction ML,"This system employs machine learning to forecast property values and identify the best investment opportunities in real estate markets. By analyzing market data and trends, the model provides insights into which properties are likely to appreciate in value, helping investors make informed decisions.",RealEstate AI,High maintenance requirements of AI infrastructure led to operational delays.,Identified investment opportunities with projected 21% IRR over a 5-year period.,USA,2017,2017,2017,Successful,Auto,Predictive,Numeric,Structured,Semi-Stable,Medium,52,Miscellaneous Intermediation,Proof of Concept,High,1,,,,,,,,
MagicBricks,AI tools like PropWorth for instant property valuations and a Bank Recommendation Engine for home loans.,AI Real Estate & Property Tech,PropWorth + Recommender System,"This system combines property valuation techniques with a recommendation engine. It uses machine learning to generate accurate property estimates and suggests investment opportunities based on user preferences, location, and market trends. It is used in real estate platforms to help buyers and sellers make informed decisions.",RealEstate AI,AI model performance varied significantly across product lines.,Improved user engagement and streamlined property search and financing processes.,India,2006,2006,2006,Successful,Auto,Assistive,Numeric+Text,Structured,Stable,Medium,53,Other Activities Related to Real Estate,Proof of Concept,High,1,,,,,,,,
REX Real Estate,AI for efficient property transactions,AI Real Estate & Property Tech,Buyer/Seller Matchmaking ML,"This system uses machine learning to match buyers and sellers in real estate transactions. By analyzing user preferences, property characteristics, and historical transaction data, the model creates optimal matches, improving efficiency and user satisfaction in the buying and selling process.",RealEstate AI,Vendor lock-in risks and lack of in-house expertise created dependency.,Not publicly disclosed; Limited market penetration and eventual shutdown in 2022.,USA,2015,2022,2022,Partial,Auto,Assistive,Numeric,Structured,Semi-Stable,Medium,53,Offices of Real Estate Agents and Brokers,Enterprise,Moderate,1.2,,,,,,,,
Neara,"AI Utilizes a 3D digital twin and AI-driven analytics to simulate risks from natural events, aiding utilities in vegetation management and infrastructure resilience.",AI General AI Application,Risk Simulation ML + 3D Modeling,"This system combines machine learning with 3D modeling to simulate and assess risks in real-world environments. The AI analyzes potential threats and hazards, such as natural disasters or infrastructure failures, providing predictive insights for better risk management and preparedness.",General AI,Slow feedback loop delayed optimization of AI models.,Enabled Southern California Edison to complete vegetation work 50% faster by generating clearance guidance within weeks instead of months.,Australia / USA,2020,2021,2021,Successful,Indirect,Predictive,Geospatial,Structured,Stable,High,22,Electric Bulk Power Transmission and Control,Multi-site-National,Low,1,,,,,,,,
Avangrid,"AI Developed proprietary systems for equipment health analysis, outage risk assessment, and predictive maintenance.",AI Healthcare,Outage Risk Prediction ML,"This system applies machine learning to predict potential outages in infrastructure systems like power grids. By analyzing real-time sensor data and historical patterns, the model forecasts failures and provides proactive maintenance recommendations to prevent costly downtime.",Healthcare AI,AI's inability to adapt quickly to supply chain disruptions.,Achieved significant operational improvements and regulatory compliance through in-house AI development.,USA,2022,2023,2023,Successful,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,22,Electric Power Distribution,Department,Very-High,100,,,,,,,,
AES Corporation,AI for predictive maintenance of wind turbines and smart meters,AI Predictive Maintenance & Industrial Analytics,Turbine Efficiency Prediction ML,"This system uses machine learning to monitor the efficiency of turbines in power generation. The model analyzes sensor data to predict performance degradation and recommend adjustments for optimal operation, ensuring energy production remains efficient and sustainable.",General AI,Limited interpretability of model outputs for decision-makers.,Realized $1 million in annual savings by reducing unnecessary maintenance trips and improved energy distribution efficiency.,USA,2018,2019,2019,Successful,Indirect,Predictive,Numeric,Structured,Stable,Medium,22,Other Electric Power Generation,Department,Moderate,1,,,,,,,,
Verdigris Technologies,"AI powered analytics to monitor building energy consumption, identifying inefficiencies and recommending optimizations.",AI Energy Management,Energy Sensor Analytics ML,"This model applies machine learning to analyze data from energy sensors installed in buildings or factories. By processing usage patterns, the system identifies inefficiencies and suggests optimizations to reduce energy consumption, contributing to environmental sustainability and cost savings.",Energy AI,Challenge in maintaining data integrity across multiple AI tools.,Achieved up to 30% reduction in energy bills and enhanced sustainability efforts.,USA,2015,2016,2016,Successful,Indirect,Prescriptive,Numeric,Structured,Semi-Stable,Medium,54,Custom Computer Programming Services,Department,Moderate,1,,,,,,,,
Enbridge,"AI to monitor pipelines in real-time, detecting leaks before they escalate into major issues.",AI Energy Management,Anomaly Detection on Pipeline Sensors,"This system uses machine learning to detect anomalies in real-time pipeline sensor data. The model is trained to identify unusual patterns that could indicate issues like leaks, corrosion, or blockages, helping companies take preventive action before problems escalate.",General AI,Complex stakeholder coordination slowed project execution.,Prevented environmental disasters and reduced financial losses through early leak detection.,Canada,2016,2017,2017,Successful,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,48,Crude Petroleum Pipelines,Department,Moderate,1,,,,,,,,
Vistra Corp.,AI to monitor variables affecting thermal efficiency in power plants,AI Energy Management,Power Plant Optimization ML,"This system uses machine learning to optimize the operation of power plants. By analyzing real-time data from sensors, the model identifies inefficiencies and suggests adjustments to improve thermal efficiency, fuel consumption, and overall plant performance.",Manufacturing AI,Difficulty in validating AI outcomes due to lack of historical benchmarks.,Not publicly disclosed; Reported savings and abatement of approximately 1.6 million tons of carbon annually.,USA,2019,2020,2020,Partial,Indirect,Prescriptive,Numeric,Structured,Semi-Stable,Medium,22,Fossil Fuel Electric Power Generation,Department,Moderate,1,,,,,,,,
Leap,AI to optimize virtual power plants by managing distributed energy resources like smart thermostats and EV chargers.,AI Energy Management,Virtual Power Plant Control ML,"This model uses machine learning to manage and control distributed energy resources in a virtual power plant. It optimizes energy distribution by analyzing data from smart devices, ensuring efficient use of energy resources across the grid. This improves energy efficiency and contributes to sustainability goals.",Manufacturing AI,High false-positive rates initially disrupted operations.,"Not publicly disclosed; Enhanced grid stability and resource optimization, though full potential yet to be realized.",USA,2020,2021,2021,Partial,Indirect,Automation,Numeric,Structured,Semi-Stable,Medium,22,Other Electric Power Generation,Department,Moderate,1,,,,,,,,
Duolingo,AI for personalized language lessons and gamified learning experiences,AI Recommendation & Personalization,LSTM Knowledge Prediction (Birdbrain),"This system uses Long Short-Term Memory (LSTM) networks for predicting knowledge retention and understanding in educational settings. LSTM is used to track student performance over time, making it capable of providing personalized recommendations and forecasting learning outcomes.",Language AI,High costs associated with AI features impacting gross margins.,"Forecasted 2025 revenue between $962.5M and $978.5M, exceeding analyst estimates.",USA,2011,2012,2012,Successful,Auto,Assistive,Numeric,Structured,Stable,Medium,61,Professional and Management Development Training,Department,Moderate,1,,,,,,,,
Content Technologies Inc. (CTI),AI generated textbooks and custom learning materials tailored to different learning styles,AI Education Technology,NLG-based Textbook Generator,This system employs Natural Language Generation (NLG) to automatically generate textbooks or educational materials tailored to different learning styles. The model uses data on learning preferences and knowledge gaps to create content that maximizes student engagement and understanding.,Content AI,Company ceased operations; specific challenges not publicly detailed.,Impact on scalability and efficiency in content creation noted during operation.,USA,2013,2013,2018,Partial,Auto,Automation,Text,Unstructured,Unstable,Medium,51,Software Publishers,Proof of Concept,Moderate,1,,,,,,,,
Squirrel AI,AI Adaptive learning platform using machine learning to tailor curriculum based on student data.,AI Education Technology,Adaptive Learning ML,"This system applies machine learning to personalize educational content and experiences. By analyzing student performance data, the system tailors lessons to the individual learner’s pace, helping to optimize learning outcomes and engagement.",Tutoring AI,Ethical concerns around data privacy and surveillance; scalability challenges.,Enrolled millions of students; plans for international expansion.,China,2014,2014,2014,Successful,Auto,Assistive,Numeric,Structured,Semi-Stable,Medium,61,Educational Support Services,Proof of Concept,Moderate,0.2,,,,,,,,
Gradescope,AI assisted grading of assignments and exams to streamline the evaluation process,AI Education Technology,OCR + Clustering for Grading,This system uses Optical Character Recognition (OCR) to digitize handwritten or printed texts and applies clustering techniques to group similar responses for efficient grading. It is commonly used in educational settings to automate grading and streamline the evaluation process.,Assessment AI,Limited scalability across diverse subjects and assessment types.,Adopted by top universities; improved grading efficiency and consistency.,USA,2014,2014,2014,Successful,Direct,Assistive,Image,Unstructured,Unstable,Medium,61,"Colleges, Universities, and Professional Schools",Proof of Concept,Low,1,,,,,,,,
AltSchool,AI Personalized learning via a custom platform integrating technology into classroom settings.,AI Recommendation & Personalization,Analytics + ML for Personalization,"This system uses analytics and machine learning to create personalized learning experiences. By analyzing student data, such as learning patterns and preferences, it tailors the curriculum to meet the needs of individual learners, improving educational outcomes.",Tutoring AI,High operational costs; challenges in scaling and demonstrating clear educational outcomes.,Pivoted from operating schools to selling software; eventually acquired.,USA,2013,2013,2019,Partial,Indirect,Assistive,Numeric,Structured,Semi-Stable,Medium,61,Elementary and Secondary Schools,Proof of Concept,Moderate,100,,,,,,,,
Knewton,AI Adaptive learning platform aiming for hyper-personalization in education.,AI Recommendation & Personalization,Learning Recommender System,"This model applies machine learning to recommend personalized learning resources based on student preferences and learning behavior. By analyzing past interactions and performance, it suggests resources that match the learner’s pace and style, optimizing the learning experience.",Tutoring AI,Overhyped capabilities; underdelivered on adaptive features; faced financial challenges.,Acquired by Wiley at a loss; technology still in use but with reduced scope.,USA,2008,2011,2019,Partial,Auto,Assistive,Numeric,Structured,Semi-Stable,Medium,61,Professional and Management Development Training,Enterprise,Moderate,1,,,,,,,,
Jill Watson (Georgia Tech),AI teaching assistant developed to answer student questions in online courses,AI Education Technology,Watson NLP Q&A Model,"This system uses Natural Language Processing (NLP) to build a question-answering model that understands and responds to user inquiries. The model is trained on large datasets of questions and answers, enabling it to provide contextually accurate and relevant responses in educational and support environments.",Education AI,Limited to specific contexts; scalability across diverse subjects remains a challenge.,Improved teaching presence and student engagement in online classrooms.,USA,2016,2016,2016,Partial,Indirect,Assistive,Text,Unstructured,Stable,Medium,61,"Colleges, Universities, and Professional Schools",Proof of Concept,Moderate,1,,,,,,,,
IBM Watson Education,AI driven classroom insights and personalization tools aimed at enhancing learning experiences,AI Recommendation & Personalization,Analytics on Student Data,"This system applies analytics and machine learning to analyze student performance data. It identifies trends and patterns, allowing educators to make data-driven decisions that improve teaching strategies, student engagement, and learning outcomes.",Education AI,High costs; limited clear return on investment for schools; scalability issues.,Scaled down education-specific efforts due to challenges in demonstrating impact.,USA,2014,2015,2018,Partial,Indirect,Prescriptive,Numeric,Structured,Semi-Stable,Medium,54,Computer Systems Design Services,Department,Moderate,0.2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
